Signatura,Denominació comercial,Municipi,Adreça de l'establiment,Nombre de vehicles,Nom explotador(s),NIF/CIF explotador(s)
RC/62,OK,PALMA,"Camí SON FANGOS esquina CAN CALAFAT POL.SON OMS, S/N lletra SON OMS. 07610 Can Pastilla, PALMA, Mallorca",2510,OTHMAN KTIRI RENT A CAR SLU,B57334757
RC/63,MULTIAUTO PALMA,PALMA,"Carrer GREMI SABATERS, 12. 07009 PALMA, Mallorca",54,MULTIAUTO PALMA SL,B57226102
RC/64,SIXT,PALMA,"Carrer CANAL DE SANT JORDI-POL SON OMS, 29 local 2. 07610 Can Pastilla, PALMA, Mallorca",3366,SIXT RENT A CAR SLU,B07947591
RC/65,COCHES REUS,PALMA,"Carrer CESAR, 8. 07610 Can Pastilla, PALMA, Mallorca",170,COCHES REUS,B07613847
RC/66,EUROMAX MALLORCA,PALMA,"Carrer GREMI SABATERS, 34 lletra 4. 07009 PALMA, Mallorca",35,EUROMAX MALLORCA SL,B57297475
RC/67,AUTO CLICK,PALMA,"Carrer CALÇAT, 6 pis 3 porta IZQ. 07011 PALMA, Mallorca",226,AUTO CLICK SA,A57870933
RC/68,AUTOMOTOJG,SANT LLORENÇ DES CARDASSAR,"Avinguda CRISTOBAL COLON, 51. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca",162,AUTOMOTOJG SL,B07763071
RC/69,GOLDCAR,PALMA,"Carretera AEROPUERTO -TERMINAL, S/N. 07071 Son Sant Joan, PALMA, Mallorca",4149,GOLDCAR SPAIN SLU,B03403169
RC/70,ANSAB,LLUCMAJOR,"Avinguda CARTAGO, 51 local BAIXA. 07600 Arenal (L'), LLUCMAJOR, Mallorca",96,ANSAB RENT A CAR SL,B07952740
RC/71,LOW COST,PALMA,"Carrer CARAVEL·LA, 14 local 7-8. 07610 Can Pastilla, PALMA, Mallorca",37,LOW COST,B57736928
RC/72,RENT A CAR BENNASAR,FELANITX,"Carrer CAMPOS, 33-35. 07200 FELANITX, Mallorca",100,RENT A CAR BENNASAR SL,B07452089
RC/73,RICKY'S CARS,LLUCMAJOR,"Carrer RANDA, 9 lletra C. 07609 LLUCMAJOR, Mallorca",24,RICKY'S CARS SL,B07901382
RC/74,SOL,POLLENÇA,"Carrer ROSER VELL, 135. 07460 POLLENÇA, Mallorca",34,RENT A CAR SOL SL,B07330541
RC/75,BALEAR DE ECO-RECAMBIOS,MANACOR,"Passeig FERROCARRIL, 28. 07500 MANACOR, Mallorca",51,BALEAR DE ECO-RECAMBIOS SL,B57279713
RC/76,RENT AUTO MOTO,SANTANYÍ,"Carrer ESPALMADOR, 28. 07660 Cala D'Or, SANTANYÍ, Mallorca",90,RENT AUTO MOTO SLU,B07167406
RC/77,BOHEMI 40,PALMA,"Carrer LLAUT, 57. 07600 Arenal (L'), PALMA, Mallorca",25,BOHEMI 40 SL,B07711450
RC/78,VIVES CARS,POLLENÇA,"Carrer PICAPEDRER SOLAR B11-POL.INDUSTRIAL, 11. 07460 POLLENÇA, Mallorca",85,"THE BEST VILLAS POLLENSA, S.L.",B57310815
RC/79,KURT,MANACOR,"Carrer CARROTJA, 43. 07680 Portocristo, MANACOR, Mallorca",79,KURT RENT A CAR SL,B07642747
RC/80,NIZAR,MURO,"Carrer CRECER, 5 lletra C. 07458 Platja De Muro, MURO, Mallorca",29,AUTOMOVILES DE ALQUILER NIZAR SL,B07657117
RC/81,WORLD CAR RENTALS,SÓLLER,"Plaça CONSTITUCION, 8 pis 1 porta B. 07100 SÓLLER, Mallorca",20,"WORLD TOURNAMENT OF CHAMPIONS, SL",B07709884
RC/82,AMACKIA TRAVEL,PALMA,"Camí SO FANGOS, 100. 07007 PALMA, Mallorca",1,AMACKIA TRAVEL SL,B57899395
RC/83,LAZY BUS,MANACOR,"Camí DE SON FANGOS POL.24 PARC.560, 24. 07500 MANACOR, Mallorca",5,ALEXANDER BOCKS,*********
RC/84,STAR,PALMA,"Carrer GEORGES BERNANOS, 17. 07015 PALMA, Mallorca",37,JAN GEICK,*********
RC/85,AUTOS ROQUERO,CALVIÀ,"Avinguda Peguera, 30 local 9. 07160 Peguera, CALVIÀ, Mallorca",44,FERNANDO ROQUERO CB,E57671521
RC/86,MARKUS ROPERTZ,LLUCMAJOR,"Carrer NO TE LOCAL COMERCIAL-SOLO ON LINE, 0. 07609 Torre (La), LLUCMAJOR, Mallorca",8,Markus ropertz,*********
RC/87,LLASER,SÓLLER,"Passeig ES TRAVÉS, 1. 07108 Port (El), SÓLLER, Mallorca",24,LLASER RENT A CAR SL,B07711849
RC/88,B.SERRA,SÓLLER,"Passeig ES TRAVÉS, 26. 07108 Port (El), SÓLLER, Mallorca",23,BERTOLOME SERRA RIBAS,*********
RC/89,ARASH,CALVIÀ,"Carretera Andratx Km. 10, 10 local 16-6. 07181 Portals Nous, CALVIÀ, Mallorca",91,RENT A CAR ARASH SL,B07696628
RC/90,MINICAR MALLORCA,CALVIÀ,"Carrer SON BUGADELLES, 4. 07180 Santa Ponça, CALVIÀ, Mallorca",22,MINICAR MALLORCA SL,B57831216
RC/91,ALFA JET,SÓLLER,"Passeig ES TRAVÉS, 25. 07108 Port (El), SÓLLER, Mallorca",19,ALFA JET RENT A CAR SA,A07217391
RC/92,AUTOS VERGER,SES SALINES,"Carrer PRIMAVERA, 28. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",41,GABYROBER SL,B57824237
RC/93,AUTOS PEPE,CALVIÀ,"Carrer EUCALIPTUS, 1. 07160 Peguera, CALVIÀ, Mallorca",83,AUTOS PEPE DEL MORAL SL,B07881659
RC/94,AUTOS CUSTODIA,CALVIÀ,"Avinguda Peguera, 29. 07160 Peguera, CALVIÀ, Mallorca",44,Antonio Palmer Rojas,*********
RC/95,WHEELIES,CALVIÀ,"Avinguda S'OLIVERA, 11 local 8. 07182 Magaluf, CALVIÀ, Mallorca",35,WHEELIES RENT A CAR SL,B07579493
RC/96,J.M. TUGORES FEBRER,MURO,"Avinguda DE S'ALBUFERA, 25 local 1. 07458 MURO, Mallorca",8,Jose Miguel Tugores Febrer,*********
RC/97,PLANETA,MANACOR,"Carretera CALAS DE MALLORCA-CC CASA PILA, 5. 07689 Cales De Mallorca, MANACOR, Mallorca",49,PLANETA RENT A CAR SL,B57265928
RC/98,EB-CARS,CALVIÀ,"Carrer Alacant-pol.Son Bugadellas, 62 local 10. 07180 Santa Ponça, CALVIÀ, Mallorca",32,EXCLUSIVE BALEARIC CARS SL,B57741738
RC/99,AUTOS PAGUERA,CALVIÀ,"Avinguda PEGUERA, 61. 07160 Peguera, CALVIÀ, Mallorca",41,AUTOS PAGUERA DGM 2012 SL,B57776718
RC/100,AUTOS BALEARS,CALVIÀ,"Carrer EUCALIPTUS, 9. 07160 Peguera, CALVIÀ, Mallorca",92,MAHCIU SL,B07283732
RC/101,REN HAMS,MANACOR,"Carretera Manacor-Porto Cristo Km. 10, 10. 07680 Portocristo, MANACOR, Mallorca",17,RENT HAMS SL,B07151780
RC/102,AUTOS MAGALLUF,CALVIÀ,"Carrer S'Olivera, 16. 07181 Magaluf, CALVIÀ, Mallorca",44,COLIN MILBURN SL,B57338162
RC/103,DRIVER CALA MILLOR,SANT LLORENÇ DES CARDASSAR,"Carrer Bonanza, 4. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca",100,DRIVER CALA MILLOR SL,B57655995
RC/104,GAELIC,CALVIÀ,"Carrer Ramon de Moncada, 20 local 1. 07180 Santa Ponça, CALVIÀ, Mallorca",50,GAELIC RENT A CAR SL,B57643801
